iter	Passed	Remaining
687	1347	611
688	1349	609
689	1351	607
690	1352	604
691	1354	603
692	1357	601
693	1358	599
694	1360	596
695	1361	594
696	1362	592
697	1364	590
698	1366	588
699	1368	586
700	1371	584
701	1372	582
702	1374	580
703	1376	578
704	1378	576
705	1382	575
706	1385	574
707	1387	572
708	1389	570
709	1391	568
710	1392	566
711	1395	564
712	1398	562
713	1399	560
714	1401	558
715	1403	556
716	1404	554
717	1406	552
718	1408	550
719	1410	548
720	1414	547
721	1416	545
722	1417	543
723	1419	541
724	1420	538
725	1422	536
726	1424	534
727	1428	533
728	1431	532
729	1433	530
730	1434	528
731	1436	525
732	1438	524
733	1442	522
734	1444	520
735	1446	518
736	1449	517
737	1451	515
738	1453	513
739	1456	511
740	1457	509
741	1459	507
742	1461	505
743	1463	503
744	1465	501
745	1468	500
746	1470	498
747	1472	496
748	1474	494
749	1476	492
750	1477	489
751	1479	487
752	1481	485
753	1483	484
754	1485	481
755	1486	479
756	1488	477
757	1490	475
758	1491	473
759	1493	471
760	1495	469
761	1497	467
762	1499	465
763	1500	463
764	1502	461
765	1503	459
766	1505	457
767	1506	455
768	1508	453
769	1511	451
770	1512	449
771	1514	447
772	1515	445
773	1517	443
774	1519	441
775	1520	439
776	1522	436
777	1524	434
778	1525	432
779	1527	430
780	1529	428
781	1530	426
782	1532	424
783	1533	422
784	1535	420
785	1537	418
786	1540	416
787	1542	414
788	1543	412
789	1545	410
790	1546	408
791	1548	406
792	1549	404
793	1551	402
794	1553	400
795	1555	398
796	1557	396
797	1559	394
798	1560	392
799	1562	390
800	1563	388
801	1565	386
802	1567	384
803	1569	382
804	1571	380
805	1572	378
806	1574	376
807	1575	374
808	1577	372
809	1578	370
810	1581	368
811	1583	366
812	1585	364
813	1587	362
814	1588	360
815	1591	358
816	1592	356
817	1596	355
818	1598	353
819	1600	351
820	1601	349
821	1603	347
822	1604	345
823	1606	343
824	1608	341
825	1610	339
826	1612	337
827	1614	335
828	1617	333
829	1619	331
830	1623	330
831	1625	328
832	1627	326
833	1630	324
834	1633	322
835	1635	320
836	1637	318
837	1640	317
838	1642	315
839	1645	313
840	1648	311
841	1650	309
842	1653	307
843	1655	306
844	1658	304
845	1660	302
846	1662	300
847	1665	298
848	1667	296
849	1669	294
850	1670	292
851	1672	290
852	1674	288
853	1676	286
854	1680	284
855	1681	282
856	1683	280
857	1685	279
858	1687	277
859	1689	275
860	1691	273
861	1693	271
862	1695	269
863	1697	267
864	1699	265
865	1701	263
866	1703	261
867	1704	259
868	1708	257
869	1710	255
870	1711	253
871	1714	251
872	1715	249
873	1718	247
874	1721	245
875	1723	243
876	1724	241
877	1727	240
878	1729	238
879	1731	236
880	1733	234
881	1737	232
882	1740	230
883	1742	228
884	1744	226
885	1746	224
886	1751	223
887	1755	221
888	1757	219
889	1760	217
890	1764	215
891	1766	213
892	1768	211
893	1771	210
894	1773	208
895	1775	206
896	1778	204
897	1780	202
898	1783	200
899	1785	198
900	1788	196
901	1790	194
902	1794	192
903	1797	190
